Datum;Pocet.potvrdenych.PCR.testami;Dennych.PCR.testov;Dennych.PCR.prirastkov;Pocet.umrti;AgTests;AgPosit;Pocet.hospitalizovanych
06.12.2020;117283;3415;552;1018;NaN;NaN;1677
07.12.2020;119232;10245;1949;1046;NaN;NaN;1712
08.12.2020;121796;13277;2564;1084;NaN;NaN;1775
09.12.2020;124921;15130;3125;1104;NaN;NaN;1773
10.12.2020;127087;10938;2166;1122;NaN;NaN;1822
11.12.2020;130794;17956;3707;1148;NaN;NaN;1784
12.12.2020;132984;9991;2190;1175;NaN;NaN;1848
13.12.2020;133489;2899;505;1205;NaN;NaN;1918
14.12.2020;135523;10901;2034;1251;NaN;NaN;1912
15.12.2020;139088;16717;3565;1309;NaN;NaN;1911
16.12.2020;142133;14921;3045;1378;NaN;NaN;1966
17.12.2020;146124;18022;3991;1440;NaN;NaN;1978
18.12.2020;149275;16197;3151;1510;NaN;NaN;1970
19.12.2020;151336;9821;2061;1555;NaN;NaN;2025
20.12.2020;152555;6291;1219;1618;NaN;NaN;2091
21.12.2020;155218;13289;2663;1618;NaN;NaN;2099
22.12.2020;158905;18144;3687;1686;NaN;NaN;2080
23.12.2020;161562;14238;2657;1732;NaN;NaN;1939
24.12.2020;165608;18443;4046;1732;NaN;NaN;1949
25.12.2020;166649;4249;1041;1732;NaN;NaN;2039
26.12.2020;167523;3550;874;1773;NaN;NaN;2123
27.12.2020;168092;2540;569;1879;NaN;NaN;2240
28.12.2020;170187;9330;2095;1983;NaN;NaN;2241
29.12.2020;173228;11414;3041;2065;NaN;NaN;2277
30.12.2020;179543;21978;6315;2138;NaN;NaN;2248
31.12.2020;184508;16479;4965;2250;NaN;NaN;2166
01.01.2021;186244;4954;1736;2250;9330;590;2217
02.01.2021;187463;4288;1219;2317;6178;526;2332
03.01.2021;188099;3111;636;2521;3402;272;2439
04.01.2021;191088;12396;2989;2603;74521;7358;2432
05.01.2021;196047;17822;4959;2657;73076;6121;2412
06.01.2021;198184;8257;2137;2717;15691;1028;2537
07.01.2021;201164;10657;2980;2788;75001;5311;2540
08.01.2021;205236;16368;4072;2836;76476;3931;2575
09.01.2021;208209;12844;2973;2918;60528;1887;2682
10.01.2021;209069;4328;860;3007;28529;925;2740
11.01.2021;211479;12119;2410;3102;74449;3294;2748
12.01.2021;215055;15440;3576;3163;63541;3029;2654
13.01.2021;217978;12342;2923;3260;57063;2635;2687
14.01.2021;220707;11875;2729;3362;50671;2293;2657
15.01.2021;222752;11392;2045;3417;64145;2176;2611
16.01.2021;223325;2850;573;3474;49199;1128;2717
17.01.2021;224385;6252;1060;3526;41414;1634;2839
18.01.2021;226294;9817;1909;3637;74647;3385;2723
19.01.2021;228778;12124;2484;3737;91100;2670;2699
20.01.2021;231242;12668;2464;3801;110376;2328;2659
21.01.2021;233027;11018;1785;3894;217375;3103;2645
22.01.2021;234571;20264;1544;3965;248840;2848;2604
23.01.2021;236476;16498;1905;4068;781689;6515;2711
24.01.2021;237027;3806;551;4068;407052;3793;2827
25.01.2021;238617;10950;1590;4260;225531;2738;2822
26.01.2021;241392;14015;2775;4361;181015;2667;2830
27.01.2021;243427;9811;2035;4411;73265;1727;2809
28.01.2021;246008;11293;2581;4495;72934;2090;2856
29.01.2021;248190;11207;2182;4565;154371;2716;2815
30.01.2021;249913;8201;1723;4642;486302;4819;2904
31.01.2021;250357;2290;444;4711;256495;2865;3000
01.02.2021;252094;9504;1737;4784;192925;3500;3013
02.02.2021;254826;12313;2732;4889;150566;3749;2988
03.02.2021;256903;11223;2077;4976;82023;2573;2994
04.02.2021;259533;11282;2630;5050;105633;2923;3006
05.02.2021;261774;13677;2241;5135;221348;3048;2988
06.02.2021;263326;8282;1552;5199;661016;5488;3027
07.02.2021;264083;3784;757;5271;388616;3315;3142
08.02.2021;265807;9410;1724;5382;286154;3631;3178
09.02.2021;268986;13980;3179;5502;178925;3037;3184
10.02.2021;271473;10932;2487;5629;134000;2983;3206
11.02.2021;273904;10402;2431;5733;136303;2475;3290
12.02.2021;276234;13991;2330;5812;293836;3343;3274
13.02.2021;277682;7597;1448;5885;675792;4833;3427
14.02.2021;278254;2775;572;5952;345903;2919;3501
15.02.2021;279696;8237;1442;6063;234188;3283;3539
16.02.2021;282864;13050;3168;6168;161088;2761;3596
17.02.2021;285419;10848;2555;6271;128034;2795;3645
18.02.2021;287752;10283;2333;6350;150261;2797;3724
19.02.2021;290457;14300;2705;6424;307950;3574;3566
20.02.2021;292143;8277;1686;6505;725581;5296;3563
21.02.2021;292792;3059;649;6577;316624;2889;3735
22.02.2021;294790;9869;1998;6671;222343;3437;3771
23.02.2021;298337;15160;3547;6775;160796;2885;3759
24.02.2021;300775;10958;2438;6859;138338;3011;3845
25.02.2021;303420;12065;2645;6966;159469;2610;3861
26.02.2021;306268;15731;2848;7075;321004;3333;3842
27.02.2021;308083;8839;1815;7189;748261;5132;3917
28.02.2021;308925;3565;842;7270;333278;2622;3957
01.03.2021;311002;10854;2077;7388;228978;3185;3897
02.03.2021;314359;15111;3357;7489;189558;2746;3829
03.03.2021;317159;12624;2800;7560;168772;2490;3771
04.03.2021;319582;11749;2423;7665;185188;2400;3810
05.03.2021;322104;15721;2522;7739;339434;2841;3654
06.03.2021;323390;7611;1286;7836;769649;3924;3730
07.03.2021;323786;2747;396;7921;346318;2298;3862
08.03.2021;325993;11222;2207;8037;235639;2611;3761
09.03.2021;329593;16361;3600;8146;180824;2044;3681
